date,state,voteshare,pred
2020-03-03,alaska,0.464211402991223,
2020-03-04,alaska,0.46303247791657,
2020-03-05,alaska,0.46235496468111104,
2020-03-06,alaska,0.46148096035404207,
2020-03-07,alaska,0.46255221146371706,
2020-03-08,alaska,0.46350125423662497,
2020-03-09,alaska,0.46446376434090003,
2020-03-10,alaska,0.465387306071179,
2020-03-11,alaska,0.466256785864655,
2020-03-12,alaska,0.467065471449224,
2020-03-13,alaska,0.46797783603334003,
2020-03-14,alaska,0.46888271920509295,
2020-03-15,alaska,0.469913940999796,
2020-03-16,alaska,0.47078005312369503,
2020-03-17,alaska,0.47189711325793393,
2020-03-18,alaska,0.473036663293794,
2020-03-19,alaska,0.47348666795436206,
2020-03-20,alaska,0.47399796906394304,
2020-03-21,alaska,0.47448198264845504,
2020-03-22,alaska,0.47487175284169003,
2020-03-23,alaska,0.47547117945358996,
2020-03-24,alaska,0.47592578248505296,
2020-03-25,alaska,0.476382075171935,
2020-03-26,alaska,0.476671423677677,
2020-03-27,alaska,0.47687238073772,
2020-03-28,alaska,0.47693760270528707,
2020-03-29,alaska,0.47714907774721205,
2020-03-30,alaska,0.47750234464631197,
2020-03-31,alaska,0.47791405212711496,
2020-04-01,alaska,0.477513736969374,
2020-04-02,alaska,0.477186107991707,
2020-04-03,alaska,0.47691946695037796,
2020-04-04,alaska,0.47657273841772296,
2020-04-05,alaska,0.476163477561144,
2020-04-06,alaska,0.475858725512642,
2020-04-07,alaska,0.481288361504072,
2020-04-08,alaska,0.481360862432792,
2020-04-09,alaska,0.48147753330031895,
2020-04-10,alaska,0.481723729923425,
2020-04-11,alaska,0.48249524849132897,
2020-04-12,alaska,0.48307489291356703,
2020-04-13,alaska,0.483367315236506,
2020-04-14,alaska,0.483758402462517,
2020-04-15,alaska,0.48590573124944103,
2020-04-16,alaska,0.48482228972573993,
2020-04-17,alaska,0.48390812478165096,
2020-04-18,alaska,0.48592060485229405,
2020-04-19,alaska,0.48789104246188797,
2020-04-20,alaska,0.48987146428851397,
2020-04-21,alaska,0.49195649915350803,
2020-04-22,alaska,0.493923212629189,
2020-04-23,alaska,0.49604188543244504,
2020-04-24,alaska,0.49569930494248504,
2020-04-25,alaska,0.49373228180027,
2020-04-26,alaska,0.491941534831927,
2020-04-27,alaska,0.49153741126763395,
2020-04-28,alaska,0.491212859116626,
2020-04-29,alaska,0.49121000089206396,
2020-04-30,alaska,0.49129358918213895,
2020-05-01,alaska,0.49144221987119896,
2020-05-02,alaska,0.49139445067070203,
2020-05-03,alaska,0.48989659964517496,
2020-05-04,alaska,0.48859866179500394,
2020-05-05,alaska,0.487299833946011,
2020-05-06,alaska,0.4887094641227271,
2020-05-07,alaska,0.49019222066487106,
2020-05-08,alaska,0.489172097354032,
2020-05-09,alaska,0.488007069709957,
2020-05-10,alaska,0.486509468082382,
2020-05-11,alaska,0.48200413558759003,
2020-05-12,alaska,0.489568252362295,
2020-05-13,alaska,0.48487264093594895,
2020-05-14,alaska,0.480065949424651,
2020-05-15,alaska,0.475428389838633,
2020-05-16,alaska,0.47143441579421996,
2020-05-17,alaska,0.46871492463092207,
2020-05-18,alaska,0.46606019183873704,
2020-05-19,alaska,0.461032155742236,
2020-05-20,alaska,0.46149043842323706,
2020-05-21,alaska,0.45969788566054404,
2020-05-22,alaska,0.46299958317165896,
2020-05-23,alaska,0.466107354087805,
2020-05-24,alaska,0.46936907588553795,
2020-05-25,alaska,0.470496703200955,
2020-05-26,alaska,0.47168138040831203,
2020-05-27,alaska,0.4682868787231261,
2020-05-28,alaska,0.467959819944615,
2020-05-29,alaska,0.467829418575046,
2020-05-30,alaska,0.4676578916232771,
2020-05-31,alaska,0.478657995796818,
2020-06-01,alaska,0.48955063615885297,
2020-06-02,alaska,0.49849607732072204,
2020-06-03,alaska,0.501974705600755,
2020-06-04,alaska,0.502113147944151,
2020-06-05,alaska,0.50225431265737,
2020-06-06,alaska,0.502404238621182,
2020-06-07,alaska,0.502555639360323,
2020-06-08,alaska,0.502594776788697,
2020-06-09,alaska,0.503558783643382,
2020-06-10,alaska,0.49975209085621297,
2020-06-11,alaska,0.494927279197667,
2020-06-12,alaska,0.4902556781028499,
2020-06-13,alaska,0.485284510457125,
2020-06-14,alaska,0.49603672603369103,
2020-06-15,alaska,0.501765717361836,
2020-06-16,alaska,0.502270177772947,
2020-06-17,alaska,0.5098227025185821,
2020-06-18,alaska,0.5171119064065101,
2020-06-19,alaska,0.5193708929225099,
2020-06-20,alaska,0.516369870479482,
2020-06-21,alaska,0.5129786268808121,
2020-06-22,alaska,0.509527123245343,
